product id,product name,pzn,price rec,package size,descriptions
16066,"Panthenol Spray, 46,3 mg/g Schaum zur Anwendung auf der Haut",04020784,16.95,130 g,Schaumspray zur Anwendung auf der Haut. Fördert die Regeneration gereizter oder geschädigter Haut und spendet Feuchtigkeit.
976308,NORSAN Omega-3 Total,13476520,27,200 ml,"Flüssiges Omega-3-Öl aus Fisch. Unterstützt Herz, Gehirn und Gelenke."
977179,NORSAN Omega-3 Vegan,13476394,29,100 ml,Pflanzliches Omega-3 aus Algen. Geeignet für Vegetarier und Veganer.
993687,NORSAN Omega-3 Kapseln,13512730,29,120 st,Omega-3-Kapseln zur täglichen Nahrungsergänzung.
1225428,Vividrin® iso EDO® antiallergische Augentropfen,16507327,8.28,30x0.5 ml,Konservierungsmittelfreie Augentropfen zur Linderung allergischer Beschwerden wie Juckreiz und Rötung.
202796,Aqualibra 80 mg/90 mg/180 mg Filmtabletten,00795287,27.82,60 st,Pflanzliches Arzneimittel zur Unterstützung der Blasenfunktion.
1103035,Vitasprint Pro Energie,14050243,15.95,8 st,Nahrungsergänzungsmittel mit B-Vitaminen und Aminosäuren zur Verringerung von Müdigkeit.
27955,Cystinol akut®,07114824,26.5,60 st,Pflanzliches Arzneimittel zur Behandlung akuter Harnwegsinfektionen.
30955,Cromo-ratiopharm® Augentropfen Einzeldosis,04884527,7.59,20x0.5 ml,Antiallergische Augentropfen zur Vorbeugung und Behandlung von allergischen Augenbeschwerden.
1162261,Kijimea Reizdarm PRO,15999676,38.99,28 st,Medizinisches Produkt zur Linderung von Symptomen des Reizdarmsyndroms wie Blähungen und Bauchschmerzen.
1204782,Mucosolvan 1 mal täglich Retardkapseln,15210915,39.97,50 st,Langwirksames Arzneimittel zur Schleimlösung bei Husten.
1210016,OMNi-BiOTiC SR-9 mit B-Vitaminen,16487346,44.5,28x3 g,Probiotikum mit B-Vitaminen zur Unterstützung der Darmflora und des Energiestoffwechsels.
1245942,Osa Schorf Spray,16781761,15.45,30 ml,Pflegespray zur sanften Entfernung von Milchschorf und trockener Kopfhaut bei Babys.
1247528,Multivitamin Fruchtgummibärchen vegan u zuckerfrei,16908486,12.74,60 st,"Vegane, zuckerfreie Multivitamin-Gummibärchen zur täglichen Versorgung mit Vitaminen."
1273105,"Iberogast® Classic, Flüssigkeit zum Einnehmen",16507540,28.98,50 ml,Pflanzliches Arzneimittel bei Magen-Darm-Beschwerden.
1358905,COLPOFIX®,18389398,49.6,40 ml,Vaginalgel zur Unterstützung der Gesundheit der Zervixschleimhaut.
1293377,Augentropfen RedCare,17396686,12.69,10 ml,Befeuchtende Augentropfen bei trockenen oder gereizten Augen.
1313639,MULTILAC Darmsynbiotikum,17931783,9.99,10 st,Kombination aus Pro- und Präbiotika zur Unterstützung der Verdauung.
1319766,SAW PALMETO (SÄGEPALME) 350 mg,18216723,8.47,100 st,Pflanzliches Nahrungsergänzungsmittel zur Unterstützung der Prostatafunktion.
1329121,Paracetamol apodiscounter 500 mg Tabletten,18188323,2.06,20 st,Schmerz- und fiebersenkendes Arzneimittel.
1352774,Prostata Men Kapseln,18657640,19.99,60 st,Nahrungsergänzungsmittel zur Unterstützung der Prostatagesundheit.
1357649,Natural Intimate Creme,18769758,18.9,50 ml,Pflegecreme zur Befeuchtung und zum Schutz des sensiblen Intimbereichs.
1358513,proBIO 6 Probiotik Kapseln APOMIA,18317737,34.9,30 st,Probiotische Kapseln zur Unterstützung einer gesunden Darmflora.
1363580,Eucerin DERMOPURE Triple Effect Reinigungsgel,18222095,17.25,150 ml,"Reinigungsgel für unreine Haut, reduziert Unreinheiten und Pickelmale."
1381140,frida baby FlakeFixer,19140755,0,1 st,Sanfte Pflege zur Entfernung von Milchschorf bei Babys.
1383626,Vitasprint Duo Energie,18760556,16.95,20 st,Nahrungsergänzungsmittel mit Vitaminen und Mineralstoffen zur Steigerung der Energie.
11334,"Bepanthen WUND- UND HEILSALBE, 50 mg/g Salbe",01580241,7.69,20 g,Salbe zur Unterstützung der Wundheilung und Pflege trockener Haut.
1391185,V-Biotics Flora Complex,19296256,19.9,19 g,Probiotisches Nahrungsergänzungsmittel zur Unterstützung von Darm und Immunsystem.
1403860,Aveeno Skin Relief Body Lotion,19342855,14.99,300 ml,Beruhigende Körperlotion für sehr trockene und juckende Haut.
1434198,Centrum Vital+ Mentale Leistung,19486198,19.95,30 st,Multivitaminpräparat zur Unterstützung der geistigen Leistungsfähigkeit.
1434864,Redcare Wundschutzcreme,19280947,14.39,100 ml,Schutzcreme für gereizte und empfindliche Haut.
1435154,Cetaphil Sanft glättende SA Reinigung,19720688,13.95,236 ml,Sanfte Reinigung mit Salicylsäure für raue und unebene Haut.
14176,"Magnesium Verla® N Dragées, magensaftresistente Tabletten",03554928,6.4,50 st,Magnesiumpräparat zur Unterstützung von Muskeln und Nerven.
704523,"Livocab® direkt Augentropfen, 0,05 % Augentropfen, Suspension",00676714,14.99,4 ml,Schnell wirksame Augentropfen bei allergischen Augenbeschwerden.
185422,"Cetirizin HEXAL® Tropfen bei Allergien, 10 mg/ml Tropfen zum Einnehmen, Lösung",02579607,13.19,10 ml,Antihistaminikum zur Linderung von Allergiesymptomen.
198010,"Loperamid akut - 1 A Pharma®, 2 mg Hartkapseln",01338066,3.93,10 st,Arzneimittel zur Behandlung von akutem Durchfall.
202006,Ramipril - 1 A Pharma® 10 mg Tabletten,00766794,12.59,20 st,Verschreibungspflichtiges Arzneimittel zur Behandlung von Bluthochdruck.
306595,"GRANU FINK® femina, Hartkapseln",01499852,20.29,30 st,Pflanzliches Arzneimittel zur Unterstützung der Blasengesundheit bei Frauen.
324024,Vitasprint B12 Kapseln,04909523,17.04,20 st,Vitamin-B12-Präparat zur Unterstützung von Energie und Nervenfunktion.
332568,Sinupret® Saft,00605588,13.3,100 ml,Pflanzliches Arzneimittel bei Nasennebenhöhlenentzündungen.
335765,Nurofen 200 mg Schmelztabletten Lemon,02547582,10.98,12 st,Ibuprofen-Schmerzmittel in schnell löslicher Form.
363715,Vitamin B-Komplex-ratiopharm,04132750,24.97,60 st,Kombination verschiedener B-Vitamine zur Unterstützung des Nervensystems.
368333,Calmvalera Hevert Tropfen,06560421,35.97,100 ml,Homöopathisches Arzneimittel bei nervöser Unruhe und Schlafstörungen.
1248085,femiLoges® 4 mg magensaftresistente Tabletten,16815862,20.44,30 st,Hormonfreies Arzneimittel zur Linderung von Wechseljahresbeschwerden.
376212,Umckaloabo® Saft für Kinder,08871266,13.15,120 ml,Pflanzlicher Saft zur Behandlung von Atemwegsinfektionen bei Kindern.
368367,"DulcoLax® Dragées, 5 mg magensaftresistente Tabletten",06800196,22.9,100 st,Abführmittel zur kurzfristigen Behandlung von Verstopfung.
717525,Diclo-ratiopharm Schmerzgel,04704198,8.89,50 g,Schmerzgel zur äußeren Anwendung bei Muskel- und Gelenkschmerzen.
772646,"Minoxidil BIO-H-TIN-Pharma 20 mg/ml Spray zur Anwendung auf der Haut (Kopfhaut), Lösung",10391763,22.5,60 ml,Lösung zur Anwendung auf der Kopfhaut bei erblich bedingtem Haarausfall.
790415,Hyaluron-ratiopharm® Augentropfen,10810214,13.74,10 ml,Befeuchtende Augentropfen mit Hyaluronsäure bei trockenen Augen.
790661,"FeniHydrocort Creme 0,25 %",10796980,8.59,20 g,Kortisonhaltige Creme zur Behandlung leichter Hautentzündungen und Juckreiz.
879236,Eucerin UreaRepair PLUS Lotion 10%,11678159,27.75,400 ml,Intensiv pflegende Lotion für sehr trockene und raue Haut.
899231,Vigantolvit 2000 I.E. Vitamin D3,12423869,17.99,120 st,Vitamin-D-Präparat zur Unterstützung von Knochen und Immunsystem.
